Date,SONIA
03/21/2017,0.002124
03/20/2017,0.002109
03/17/2017,0.002099
03/16/2017,0.002094
03/15/2017,0.002105
03/14/2017,0.002106
03/13/2017,0.002101
03/10/2017,0.00213
03/09/2017,0.002114
03/08/2017,0.002111
03/07/2017,0.002109
03/06/2017,0.002118
03/03/2017,0.002102
03/02/2017,0.002112
03/01/2017,0.002119
02/28/2017,0.00203
02/27/2017,0.002111
02/24/2017,0.00212
02/23/2017,0.002099
02/22/2017,0.002172
02/21/2017,0.002131
02/20/2017,0.002112
02/17/2017,0.002115
02/16/2017,0.002109
02/15/2017,0.002083
02/14/2017,0.002097
02/13/2017,0.00209
02/10/2017,0.002101
02/09/2017,0.00208
02/08/2017,0.002105
02/07/2017,0.002103
02/06/2017,0.00212
02/03/2017,0.002118
02/02/2017,0.002123
02/01/2017,0.00211
01/31/2017,0.002078
01/30/2017,0.00215
01/27/2017,0.002162
01/26/2017,0.002132
01/25/2017,0.002138
01/24/2017,0.002131
01/23/2017,0.002152
01/20/2017,0.002154
01/19/2017,0.002139
01/18/2017,0.002139
01/17/2017,0.002129
01/16/2017,0.002125
01/13/2017,0.002127
01/12/2017,0.002128
01/11/2017,0.002113
01/10/2017,0.002122
01/09/2017,0.00214
01/06/2017,0.002126
01/05/2017,0.002132
01/04/2017,0.002143
01/03/2017,0.002177
12/30/2016,0.001618
12/29/2016,0.00215
12/28/2016,0.002185
12/23/2016,0.002151
12/22/2016,0.002137
12/21/2016,0.002203
12/20/2016,0.002207
12/19/2016,0.002177
12/16/2016,0.002144
12/15/2016,0.002201
12/14/2016,0.002122
12/13/2016,0.002163
12/12/2016,0.002125
12/09/2016,0.002127
12/08/2016,0.002161
12/07/2016,0.002118
12/06/2016,0.002114
12/05/2016,0.002134
12/02/2016,0.002115
12/01/2016,0.002147
11/30/2016,0.002024
11/29/2016,0.002116
11/28/2016,0.002129
11/25/2016,0.002106
11/24/2016,0.002118
11/23/2016,0.002119
11/22/2016,0.002108
11/21/2016,0.002099
11/18/2016,0.002117
11/17/2016,0.002101
11/16/2016,0.002103
11/15/2016,0.002106
11/14/2016,0.002106
11/11/2016,0.00214
11/10/2016,0.002137
11/09/2016,0.002102
11/08/2016,0.002116
11/07/2016,0.002108
11/04/2016,0.002106
11/03/2016,0.002121
11/02/2016,0.002082
11/01/2016,0.002122
10/31/2016,0.001999
10/28/2016,0.002092
10/27/2016,0.00209
10/26/2016,0.002105
10/25/2016,0.002117
10/24/2016,0.002115
10/21/2016,0.002112
10/20/2016,0.002125
10/19/2016,0.002136
10/18/2016,0.002112
10/17/2016,0.002113
10/14/2016,0.002109
10/13/2016,0.00214
10/12/2016,0.002174
10/11/2016,0.002148
10/10/2016,0.002166
10/07/2016,0.002134
10/06/2016,0.002157
10/05/2016,0.002104
10/04/2016,0.002139
10/03/2016,0.002139
09/30/2016,0.001624
09/29/2016,0.002136
09/28/2016,0.002144
09/27/2016,0.002139
09/26/2016,0.002124
09/23/2016,0.002152
09/22/2016,0.002073
09/21/2016,0.002155
09/20/2016,0.00213
09/19/2016,0.002134
09/16/2016,0.002141
09/15/2016,0.002156
09/14/2016,0.002197
09/13/2016,0.0022
09/12/2016,0.002198
09/09/2016,0.00219
09/08/2016,0.002189
09/07/2016,0.002173
09/06/2016,0.002159
09/05/2016,0.002168
09/02/2016,0.00214
09/01/2016,0.002144
08/31/2016,0.002018
08/30/2016,0.002161
08/26/2016,0.002152
08/25/2016,0.002174
08/24/2016,0.002153
08/23/2016,0.002138
08/22/2016,0.002133
08/19/2016,0.002146
08/18/2016,0.002118
08/17/2016,0.002098
08/16/2016,0.002115
08/15/2016,0.00211
08/12/2016,0.002111
08/11/2016,0.002141
08/10/2016,0.002122
08/09/2016,0.002107
08/08/2016,0.002175
08/05/2016,0.002139
08/04/2016,0.00246
08/03/2016,0.004565
08/02/2016,0.004604
08/01/2016,0.00457
07/29/2016,0.004534
07/28/2016,0.004575
07/27/2016,0.004589
07/26/2016,0.004603
07/25/2016,0.004565
07/22/2016,0.004632
07/21/2016,0.004671
07/20/2016,0.004615
07/19/2016,0.004581
07/18/2016,0.004617
07/15/2016,0.004666
07/14/2016,0.003954
07/13/2016,0.004593
07/12/2016,0.004598
07/11/2016,0.004603
07/08/2016,0.00461
07/07/2016,0.004612
07/06/2016,0.004608
07/05/2016,0.004601
07/04/2016,0.004655
07/01/2016,0.004635
06/30/2016,0.004416
06/29/2016,0.004569
06/28/2016,0.004585
06/27/2016,0.004584
06/24/2016,0.004581
06/23/2016,0.004604
06/22/2016,0.004618
06/21/2016,0.004589
06/20/2016,0.004604
06/17/2016,0.004613
06/16/2016,0.00464
06/15/2016,0.004597
06/14/2016,0.004593
